Series,Type,Year,Group,Value,Stdev,Scale
bts_bootstrap,absolute,1999,Capelin,574024.8875,77498.12446,2.14E-06
bts_bootstrap,absolute,2000,Capelin,728417.8543,225630.2694,2.14E-06
bts_bootstrap,absolute,2001,Capelin,468446.1926,59764.66798,2.14E-06
bts_bootstrap,absolute,2002,Capelin,411040.5354,56705.22448,2.14E-06
bts_bootstrap,absolute,2003,Capelin,908309.9882,439569.4486,2.14E-06
bts_bootstrap,absolute,2004,Capelin,1861423.493,398968.9478,2.14E-06
bts_bootstrap,absolute,2005,Capelin,194431.9412,59853.92043,2.14E-06
bts_bootstrap,absolute,2006,Capelin,856517.3612,105244.9981,2.14E-06
bts_bootstrap,absolute,2007,Capelin,148678.3117,39527.55626,2.14E-06
bts_bootstrap,absolute,2008,Capelin,566281.6985,56498.7208,2.14E-06
bts_bootstrap,absolute,2009,Capelin,633918.7831,135739.4855,2.14E-06
bts_bootstrap,absolute,2010,Capelin,1760823.286,461297.5069,2.14E-06
bts_bootstrap,absolute,2011,Capelin,2168108.792,549918.3911,2.14E-06
bts_bootstrap,absolute,2012,Capelin,2765215.63,556544.2015,2.14E-06
bts_bootstrap,absolute,2013,Capelin,3141401.008,1756543.888,2.14E-06
bts_bootstrap,absolute,2014,Capelin,1661624.045,1008891.61,2.14E-06
bts_bootstrap,absolute,2015,Capelin,2548494.664,773971.6253,2.14E-06
bts_bootstrap,absolute,2016,Capelin,707080.7711,238082.1284,2.14E-06
bts_bootstrap,absolute,2017,Capelin,280269.6644,187139.8957,2.14E-06
bts_bootstrap,absolute,2018,Capelin,24628.31052,4224.190098,2.14E-06
bts_bootstrap,absolute,2019,Capelin,39404.54072,9700.726432,2.14E-06
bts_bootstrap,absolute,1982,Eelpouts,2923917.781,485684.6789,2.14E-06
bts_bootstrap,absolute,1983,Eelpouts,2507635.601,447703.7298,2.14E-06
bts_bootstrap,absolute,1984,Eelpouts,877632.2686,149051.4606,2.14E-06
bts_bootstrap,absolute,1985,Eelpouts,346980.9445,48432.25991,2.14E-06
bts_bootstrap,absolute,1986,Eelpouts,255598.0535,27171.91534,2.14E-06
bts_bootstrap,absolute,1987,Eelpouts,685716.8534,83732.90144,2.14E-06
bts_bootstrap,absolute,1988,Eelpouts,1061179.992,121648.9903,2.14E-06
bts_bootstrap,absolute,1989,Eelpouts,1094157.846,118160.0624,2.14E-06
bts_bootstrap,absolute,1990,Eelpouts,1125981.25,101539.1393,2.14E-06
bts_bootstrap,absolute,1991,Eelpouts,1006975.37,96303.67706,2.14E-06
bts_bootstrap,absolute,1992,Eelpouts,919615.3037,96738.55683,2.14E-06
bts_bootstrap,absolute,1993,Eelpouts,1336405.002,162032.7235,2.14E-06
bts_bootstrap,absolute,1994,Eelpouts,1225324.62,180768.1218,2.14E-06
bts_bootstrap,absolute,1995,Eelpouts,776467.8232,104128.4745,2.14E-06
bts_bootstrap,absolute,1996,Eelpouts,722104.1305,96462.4336,2.14E-06
bts_bootstrap,absolute,1997,Eelpouts,615885.6382,78226.50381,2.14E-06
bts_bootstrap,absolute,1998,Eelpouts,899435.3967,116817.2733,2.14E-06
bts_bootstrap,absolute,1999,Eelpouts,517516.2403,58255.92952,2.14E-06
bts_bootstrap,absolute,2000,Eelpouts,755654.2781,85829.86515,2.14E-06
bts_bootstrap,absolute,2001,Eelpouts,942299.6241,102410.9822,2.14E-06
bts_bootstrap,absolute,2002,Eelpouts,647801.0442,80547.31898,2.14E-06
bts_bootstrap,absolute,2003,Eelpouts,1045467.36,111562.0583,2.14E-06
bts_bootstrap,absolute,2004,Eelpouts,1208148.668,146674.8772,2.14E-06
bts_bootstrap,absolute,2005,Eelpouts,1311073.895,161002.7877,2.14E-06
bts_bootstrap,absolute,2006,Eelpouts,1220726.943,166200.9854,2.14E-06
bts_bootstrap,absolute,2007,Eelpouts,872789.2494,126935.6979,2.14E-06
bts_bootstrap,absolute,2008,Eelpouts,527444.8012,89476.41703,2.14E-06
bts_bootstrap,absolute,2009,Eelpouts,459007.4349,80577.55755,2.14E-06
bts_bootstrap,absolute,2010,Eelpouts,622907.3927,126939.64,2.14E-06
bts_bootstrap,absolute,2011,Eelpouts,894468.3818,97739.48526,2.14E-06
bts_bootstrap,absolute,2012,Eelpouts,586601.4098,71390.48446,2.14E-06
bts_bootstrap,absolute,2013,Eelpouts,609674.4981,102816.366,2.14E-06
bts_bootstrap,absolute,2014,Eelpouts,941755.577,172517.6581,2.14E-06
bts_bootstrap,absolute,2015,Eelpouts,922467.9389,119148.6262,2.14E-06
bts_bootstrap,absolute,2016,Eelpouts,1157905.036,218112.7826,2.14E-06
bts_bootstrap,absolute,2017,Eelpouts,989712.6741,121636.6762,2.14E-06
bts_bootstrap,absolute,2018,Eelpouts,874307.092,105061.2279,2.14E-06
bts_bootstrap,absolute,2019,Eelpouts,880372.2414,196248.9107,2.14E-06
bts_bootstrap,absolute,1982,FH.sole,225150.204,19941.99915,2.14E-06
bts_bootstrap,absolute,1983,FH.sole,294836.3731,31371.10811,2.14E-06
bts_bootstrap,absolute,1984,FH.sole,317850.785,27494.18235,2.14E-06
bts_bootstrap,absolute,1985,FH.sole,295622.3259,22307.23047,2.14E-06
